State,category,value
Colorado,Campaign Finance,69.69999999999999
Oregon,Campaign Finance,69.39999999999999
Washington,Campaign Finance,60.5
California,Campaign Finance,76.9
Maryland,Campaign Finance,78.60000000000001
Alaska,Campaign Finance,75.6
Ohio,Campaign Finance,75.4
Montana,Campaign Finance,50.8
Nevada,Campaign Finance,67.30000000000001
Arkansas,Campaign Finance,69.6
Florida,Campaign Finance,68.89999999999999
Missouri,Campaign Finance,63.5
Idaho,Campaign Finance,63.4
Massachusetts,Campaign Finance,61.1
Oklahoma,Campaign Finance,61.3
New Mexico,Campaign Finance,74.0
Arizona,Campaign Finance,64.4
Virginia,Campaign Finance,71.89999999999999
Utah,Campaign Finance,51.6
Nebraska,Campaign Finance,74.7
Hawaii,Campaign Finance,72.0
Illinois,Campaign Finance,58.099999999999994
Georgia,Campaign Finance,36.199999999999996
Mississippi,Campaign Finance,67.5
New York,Campaign Finance,42.4
Michigan,Campaign Finance,48.9
North Dakota,Campaign Finance,73.1
Texas,Campaign Finance,53.900000000000006
Iowa,Campaign Finance,59.8
North Carolina,Campaign Finance,73.0
Indiana,Campaign Finance,64.7
South Dakota,Campaign Finance,72.6
Tennessee,Campaign Finance,73.5
Wisconsin,Campaign Finance,58.3
Minnesota,Campaign Finance,71.89999999999999
New Jersey,Campaign Finance,50.4
Rhode Island,Campaign Finance,73.9
Connecticut,Campaign Finance,77.8
Wyoming,Campaign Finance,78.10000000000001
Alabama,Campaign Finance,52.5
Kentucky,Campaign Finance,71.1
New Hampshire,Campaign Finance,53.900000000000006
Kansas,Campaign Finance,51.800000000000004
West Virginia,Campaign Finance,54.2
Pennsylvania,Campaign Finance,58.4
Maine,Campaign Finance,62.7
Louisiana,Campaign Finance,42.199999999999996
Vermont,Campaign Finance,77.10000000000001
Delaware,Campaign Finance,47.9
South Carolina,Campaign Finance,45.1
Colorado,Civil Society,
Oregon,Civil Society,
Washington,Civil Society,
California,Civil Society,
Maryland,Civil Society,
Alaska,Civil Society,
Ohio,Civil Society,
Montana,Civil Society,
Nevada,Civil Society,
Arkansas,Civil Society,
Florida,Civil Society,
Missouri,Civil Society,
Idaho,Civil Society,
