state,variable,var_value,no_score_reason
Alabama,bachelor_share,23.0,
Alaska,bachelor_share,35.099999999999994,
Arizona,bachelor_share,43.1,
Arkansas,bachelor_share,11.3,
California,bachelor_share,57.3,
Colorado,bachelor_share,97.89999999999999,
Connecticut,bachelor_share,76.2,
Delaware,bachelor_share,48.5,
Florida,bachelor_share,47.699999999999996,
Georgia,bachelor_share,49.8,
Hawaii,bachelor_share,56.10000000000001,
Idaho,bachelor_share,36.0,
Illinois,bachelor_share,61.9,
Indiana,bachelor_share,26.400000000000002,
Iowa,bachelor_share,32.2,
Kansas,bachelor_share,48.5,
Kentucky,bachelor_share,14.6,
Louisiana,bachelor_share,14.2,
Maine,bachelor_share,53.1,
Maryland,bachelor_share,84.89999999999999,
Massachusetts,bachelor_share,100.0,
Michigan,bachelor_share,37.2,
Minnesota,bachelor_share,65.3,
Mississippi,bachelor_share,10.9,
Missouri,bachelor_share,38.1,
Montana,bachelor_share,49.8,
Nebraska,bachelor_share,46.0,
Nevada,bachelor_share,17.2,
New Hampshire,bachelor_share,71.5,
New Jersey,bachelor_share,84.1,
New Mexico,bachelor_share,31.0,
New York,bachelor_share,70.3,
North Carolina,bachelor_share,53.1,
North Dakota,bachelor_share,40.2,
Ohio,bachelor_share,33.5,
Oklahoma,bachelor_share,20.5,
Oregon,bachelor_share,56.10000000000001,
Pennsylvania,bachelor_share,50.2,
Rhode Island,bachelor_share,61.1,
South Carolina,bachelor_share,37.2,
South Dakota,bachelor_share,41.0,
Tennessee,bachelor_share,33.5,
Texas,bachelor_share,45.2,
Utah,bachelor_share,61.5,
Vermont,bachelor_share,86.6,
Virginia,bachelor_share,79.10000000000001,
Washington,bachelor_share,69.5,
West Virginia,bachelor_share,0.0,
Wisconsin,bachelor_share,42.699999999999996,
Wyoming,bachelor_share,33.1,
Alabama,campaign_finance_index,24.8,
Alaska,campaign_finance_index,84.2,
Arizona,campaign_finance_index,54.900000000000006,
Arkansas,campaign_finance_index,77.7,
California,campaign_finance_index,93.30000000000001,
Colorado,campaign_finance_index,72.1,
Connecticut,campaign_finance_index,90.2,
Delaware,campaign_finance_index,50.1,
Florida,campaign_finance_index,39.800000000000004,
Georgia,campaign_finance_index,42.1,
Hawaii,campaign_finance_index,81.10000000000001,
Idaho,campaign_finance_index,60.8,
Illinois,campaign_finance_index,44.9,
Indiana,campaign_finance_index,0.0,
Iowa,campaign_finance_index,68.60000000000001,
Kansas,campaign_finance_index,85.9,
Kentucky,campaign_finance_index,69.5,
Louisiana,campaign_finance_index,42.1,
Maine,campaign_finance_index,92.30000000000001,
Maryland,campaign_finance_index,87.0,
Massachusetts,campaign_finance_index,61.3,
Michigan,campaign_finance_index,53.1,
Minnesota,campaign_finance_index,77.4,
Mississippi,campaign_finance_index,43.0,
Missouri,campaign_finance_index,85.0,
Montana,campaign_finance_index,83.2,
Nebraska,campaign_finance_index,46.400000000000006,
Nevada,campaign_finance_index,30.599999999999998,
New Hampshire,campaign_finance_index,29.299999999999997,
New Jersey,campaign_finance_index,49.8,
New Mexico,campaign_finance_index,68.60000000000001,
New York,campaign_finance_index,63.5,
North Carolina,campaign_finance_index,73.1,
North Dakota,campaign_finance_index,31.6,
Ohio,campaign_finance_index,54.800000000000004,
Oklahoma,campaign_finance_index,77.8,
Oregon,campaign_finance_index,31.6,
Pennsylvania,campaign_finance_index,50.3,
Rhode Island,campaign_finance_index,72.1,
South Carolina,campaign_finance_index,63.0,
South Dakota,campaign_finance_index,14.7,
Tennessee,campaign_finance_index,74.0,
Texas,campaign_finance_index,75.0,
Utah,campaign_finance_index,15.7,
Vermont,campaign_finance_index,45.800000000000004,
Virginia,campaign_finance_index,37.6,
Washington,campaign_finance_index,100.0,
West Virginia,campaign_finance_index,49.4,
Wisconsin,campaign_finance_index,47.599999999999994,
Wyoming,campaign_finance_index,40.300000000000004,
Alabama,compactness,71.7,
Alaska,compactness,85.1,
Arizona,compactness,85.5,
Arkansas,compactness,91.8,
California,compactness,1.3,
Colorado,compactness,81.69999999999999,
Connecticut,compactness,3.8,
Delaware,compactness,,no congressional data
Florida,compactness,86.9,
Georgia,compactness,92.2,
Hawaii,compactness,34.1,
Idaho,compactness,80.80000000000001,
Illinois,compactness,59.9,
Indiana,compactness,100.0,
Iowa,compactness,94.39999999999999,
Kansas,compactness,80.80000000000001,
Kentucky,compactness,79.3,
Louisiana,compactness,1.7999999999999998,
Maine,compactness,49.0,
Maryland,compactness,65.9,
Massachusetts,compactness,1.6,
Michigan,compactness,86.4,
Minnesota,compactness,87.3,
Mississippi,compactness,88.0,
Missouri,compactness,95.1,
Montana,compactness,97.8,
Nebraska,compactness,86.4,
Nevada,compactness,93.30000000000001,
New Hampshire,compactness,49.7,
New Jersey,compactness,78.0,
New Mexico,compactness,83.3,
New York,compactness,86.9,
North Carolina,compactness,79.7,
North Dakota,compactness,,no congressional data
Ohio,compactness,81.10000000000001,
Oklahoma,compactness,85.5,
Oregon,compactness,89.8,
Pennsylvania,compactness,94.69999999999999,
Rhode Island,compactness,0.0,
South Carolina,compactness,2.1999999999999997,
South Dakota,compactness,,no congressional data
Tennessee,compactness,74.8,
Texas,compactness,67.7,
Utah,compactness,90.9,
Vermont,compactness,,no congressional data
Virginia,compactness,79.10000000000001,
Washington,compactness,84.6,
West Virginia,compactness,71.0,
Wisconsin,compactness,92.9,
Wyoming,compactness,,no congressional data
Alabama,competitiveness,0.0,
Alaska,competitiveness,100.0,
Arizona,competitiveness,33.300000000000004,
Arkansas,competitiveness,0.0,
California,competitiveness,33.300000000000004,
Colorado,competitiveness,11.1,
Connecticut,competitiveness,0.0,
Delaware,competitiveness,,no congressional data
Florida,competitiveness,33.300000000000004,
Georgia,competitiveness,0.0,
Hawaii,competitiveness,0.0,
Idaho,competitiveness,0.0,
Illinois,competitiveness,0.0,
Indiana,competitiveness,0.0,
Iowa,competitiveness,33.300000000000004,
Kansas,competitiveness,11.1,
Kentucky,competitiveness,0.0,
Louisiana,competitiveness,0.0,
Maine,competitiveness,11.1,
Maryland,competitiveness,11.1,
Massachusetts,competitiveness,0.0,
Michigan,competitiveness,55.60000000000001,
Minnesota,competitiveness,11.1,
Mississippi,competitiveness,0.0,
Missouri,competitiveness,0.0,
Montana,competitiveness,0.0,
Nebraska,competitiveness,11.1,
Nevada,competitiveness,11.1,
New Hampshire,competitiveness,22.2,
New Jersey,competitiveness,11.1,
New Mexico,competitiveness,11.1,
New York,competitiveness,66.7,
North Carolina,competitiveness,11.1,
North Dakota,competitiveness,,no congressional data
Ohio,competitiveness,44.4,
Oklahoma,competitiveness,0.0,
Oregon,competitiveness,11.1,
Pennsylvania,competitiveness,44.4,
Rhode Island,competitiveness,0.0,
South Carolina,competitiveness,0.0,
South Dakota,competitiveness,,no congressional data
Tennessee,competitiveness,0.0,
Texas,competitiveness,22.2,
Utah,competitiveness,0.0,
Vermont,competitiveness,,no congressional data
Virginia,competitiveness,11.1,
Washington,competitiveness,22.2,
West Virginia,competitiveness,0.0,
Wisconsin,competitiveness,22.2,
Wyoming,competitiveness,,no congressional data
Alabama,congressional_money_percapita,85.39999999999999,
Alaska,congressional_money_percapita,68.2,
Arizona,congressional_money_percapita,68.0,
Arkansas,congressional_money_percapita,76.4,
California,congressional_money_percapita,56.2,
Colorado,congressional_money_percapita,74.1,
Connecticut,congressional_money_percapita,65.60000000000001,
Delaware,congressional_money_percapita,89.9,
Florida,congressional_money_percapita,72.1,
Georgia,congressional_money_percapita,73.9,
Hawaii,congressional_money_percapita,74.2,
Idaho,congressional_money_percapita,100.0,
Illinois,congressional_money_percapita,53.900000000000006,
Indiana,congressional_money_percapita,80.30000000000001,
Iowa,congressional_money_percapita,30.4,
Kansas,congressional_money_percapita,50.6,
Kentucky,congressional_money_percapita,80.60000000000001,
Louisiana,congressional_money_percapita,53.900000000000006,
Maine,congressional_money_percapita,53.7,
Maryland,congressional_money_percapita,63.5,
Massachusetts,congressional_money_percapita,72.8,
Michigan,congressional_money_percapita,61.199999999999996,
Minnesota,congressional_money_percapita,31.7,
Mississippi,congressional_money_percapita,93.0,
Missouri,congressional_money_percapita,83.8,
Montana,congressional_money_percapita,0.0,
Nebraska,congressional_money_percapita,69.5,
Nevada,congressional_money_percapita,67.30000000000001,
New Hampshire,congressional_money_percapita,26.3,
New Jersey,congressional_money_percapita,65.5,
New Mexico,congressional_money_percapita,42.6,
New York,congressional_money_percapita,49.6,
North Carolina,congressional_money_percapita,79.80000000000001,
North Dakota,congressional_money_percapita,70.3,
Ohio,congressional_money_percapita,59.699999999999996,
Oklahoma,congressional_money_percapita,83.7,
Oregon,congressional_money_percapita,75.8,
Pennsylvania,congressional_money_percapita,61.3,
Rhode Island,congressional_money_percapita,72.5,
South Carolina,congressional_money_percapita,74.1,
South Dakota,congressional_money_percapita,69.89999999999999,
Tennessee,congressional_money_percapita,85.6,
Texas,congressional_money_percapita,80.10000000000001,
Utah,congressional_money_percapita,77.8,
Vermont,congressional_money_percapita,96.7,
Virginia,congressional_money_percapita,57.099999999999994,
Washington,congressional_money_percapita,70.1,
West Virginia,congressional_money_percapita,56.2,
Wisconsin,congressional_money_percapita,59.5,
Wyoming,congressional_money_percapita,84.5,
Alabama,constitutional_initiative,0.0,
Alaska,constitutional_initiative,0.0,
Arizona,constitutional_initiative,100.0,
Arkansas,constitutional_initiative,100.0,
California,constitutional_initiative,100.0,
Colorado,constitutional_initiative,100.0,
Connecticut,constitutional_initiative,0.0,
Delaware,constitutional_initiative,0.0,
Florida,constitutional_initiative,100.0,
Georgia,constitutional_initiative,0.0,
Hawaii,constitutional_initiative,0.0,
Idaho,constitutional_initiative,0.0,
Illinois,constitutional_initiative,100.0,
Indiana,constitutional_initiative,0.0,
Iowa,constitutional_initiative,0.0,
Kansas,constitutional_initiative,0.0,
Kentucky,constitutional_initiative,0.0,
Louisiana,constitutional_initiative,0.0,
Maine,constitutional_initiative,0.0,
Maryland,constitutional_initiative,0.0,
Massachusetts,constitutional_initiative,100.0,
Michigan,constitutional_initiative,100.0,
Minnesota,constitutional_initiative,0.0,
Mississippi,constitutional_initiative,0.0,
Missouri,constitutional_initiative,100.0,
Montana,constitutional_initiative,100.0,
Nebraska,constitutional_initiative,100.0,
Nevada,constitutional_initiative,100.0,
New Hampshire,constitutional_initiative,0.0,
New Jersey,constitutional_initiative,0.0,
New Mexico,constitutional_initiative,0.0,
New York,constitutional_initiative,0.0,
North Carolina,constitutional_initiative,0.0,
North Dakota,constitutional_initiative,100.0,
Ohio,constitutional_initiative,100.0,
Oklahoma,constitutional_initiative,100.0,
Oregon,constitutional_initiative,100.0,
Pennsylvania,constitutional_initiative,0.0,
Rhode Island,constitutional_initiative,0.0,
South Carolina,constitutional_initiative,0.0,
South Dakota,constitutional_initiative,100.0,
Tennessee,constitutional_initiative,0.0,
Texas,constitutional_initiative,0.0,
Utah,constitutional_initiative,0.0,
Vermont,constitutional_initiative,0.0,
Virginia,constitutional_initiative,0.0,
Washington,constitutional_initiative,0.0,
West Virginia,constitutional_initiative,0.0,
Wisconsin,constitutional_initiative,0.0,
Wyoming,constitutional_initiative,0.0,
Alabama,court_curbing_bill,,
Alaska,court_curbing_bill,,
Arizona,court_curbing_bill,,
Arkansas,court_curbing_bill,,
California,court_curbing_bill,,
Colorado,court_curbing_bill,,
Connecticut,court_curbing_bill,,
Delaware,court_curbing_bill,,
Florida,court_curbing_bill,,
Georgia,court_curbing_bill,,
Hawaii,court_curbing_bill,,
Idaho,court_curbing_bill,,
Illinois,court_curbing_bill,,
Indiana,court_curbing_bill,,
Iowa,court_curbing_bill,,
Kansas,court_curbing_bill,,
Kentucky,court_curbing_bill,,
Louisiana,court_curbing_bill,,
Maine,court_curbing_bill,,
Maryland,court_curbing_bill,,
Massachusetts,court_curbing_bill,,
Michigan,court_curbing_bill,,
Minnesota,court_curbing_bill,,
Mississippi,court_curbing_bill,,
Missouri,court_curbing_bill,,
Montana,court_curbing_bill,,
