state,variable,value
Alabama,bachelor_share,0.230
Alaska,bachelor_share,0.351
Arizona,bachelor_share,0.431
Arkansas,bachelor_share,0.113
California,bachelor_share,0.573
Colorado,bachelor_share,0.979
Connecticut,bachelor_share,0.762
Delaware,bachelor_share,0.485
Florida,bachelor_share,0.477
Georgia,bachelor_share,0.498
Hawaii,bachelor_share,0.561
Idaho,bachelor_share,0.360
Illinois,bachelor_share,0.619
Indiana,bachelor_share,0.264
Iowa,bachelor_share,0.322
Kansas,bachelor_share,0.485
Kentucky,bachelor_share,0.146
Louisiana,bachelor_share,0.142
Maine,bachelor_share,0.531
Maryland,bachelor_share,0.849
Massachusetts,bachelor_share,1.000
Michigan,bachelor_share,0.372
Minnesota,bachelor_share,0.653
Mississippi,bachelor_share,0.109
Missouri,bachelor_share,0.381
Montana,bachelor_share,0.498
Nebraska,bachelor_share,0.460
Nevada,bachelor_share,0.172
New Hampshire,bachelor_share,0.715
New Jersey,bachelor_share,0.841
New Mexico,bachelor_share,0.310
New York,bachelor_share,0.703
North Carolina,bachelor_share,0.531
North Dakota,bachelor_share,0.402
Ohio,bachelor_share,0.335
Oklahoma,bachelor_share,0.205
Oregon,bachelor_share,0.561
Pennsylvania,bachelor_share,0.502
Rhode Island,bachelor_share,0.611
South Carolina,bachelor_share,0.372
South Dakota,bachelor_share,0.410
Tennessee,bachelor_share,0.335
Texas,bachelor_share,0.452
Utah,bachelor_share,0.615
Vermont,bachelor_share,0.866
Virginia,bachelor_share,0.791
Washington,bachelor_share,0.695
West Virginia,bachelor_share,0.000
Wisconsin,bachelor_share,0.427
Wyoming,bachelor_share,0.331
Alabama,campaign_finance_index,0.248
Alaska,campaign_finance_index,0.842
Arizona,campaign_finance_index,0.549
Arkansas,campaign_finance_index,0.777
California,campaign_finance_index,0.933
Colorado,campaign_finance_index,0.721
Connecticut,campaign_finance_index,0.902
Delaware,campaign_finance_index,0.501
Florida,campaign_finance_index,0.398
Georgia,campaign_finance_index,0.421
Hawaii,campaign_finance_index,0.811
Idaho,campaign_finance_index,0.608
Illinois,campaign_finance_index,0.449
Indiana,campaign_finance_index,0.000
Iowa,campaign_finance_index,0.686
Kansas,campaign_finance_index,0.859
Kentucky,campaign_finance_index,0.695
Louisiana,campaign_finance_index,0.421
Maine,campaign_finance_index,0.923
Maryland,campaign_finance_index,0.870
Massachusetts,campaign_finance_index,0.613
Michigan,campaign_finance_index,0.531
Minnesota,campaign_finance_index,0.774
Mississippi,campaign_finance_index,0.430
Missouri,campaign_finance_index,0.850
Montana,campaign_finance_index,0.832
Nebraska,campaign_finance_index,0.464
Nevada,campaign_finance_index,0.306
New Hampshire,campaign_finance_index,0.293
New Jersey,campaign_finance_index,0.498
New Mexico,campaign_finance_index,0.686
New York,campaign_finance_index,0.635
North Carolina,campaign_finance_index,0.731
North Dakota,campaign_finance_index,0.316
Ohio,campaign_finance_index,0.548
Oklahoma,campaign_finance_index,0.778
Oregon,campaign_finance_index,0.316
Pennsylvania,campaign_finance_index,0.503
Rhode Island,campaign_finance_index,0.721
South Carolina,campaign_finance_index,0.630
South Dakota,campaign_finance_index,0.147
Tennessee,campaign_finance_index,0.740
Texas,campaign_finance_index,0.750
Utah,campaign_finance_index,0.157
Vermont,campaign_finance_index,0.458
Virginia,campaign_finance_index,0.376
Washington,campaign_finance_index,1.000
West Virginia,campaign_finance_index,0.494
Wisconsin,campaign_finance_index,0.476
Wyoming,campaign_finance_index,0.403
Alabama,compactness,0.717
Alaska,compactness,0.851
Arizona,compactness,0.855
Arkansas,compactness,0.918
California,compactness,0.013
Colorado,compactness,0.817
Connecticut,compactness,0.038
Delaware,compactness,
Florida,compactness,0.869
Georgia,compactness,0.922
Hawaii,compactness,0.341
Idaho,compactness,0.808
Illinois,compactness,0.599
Indiana,compactness,1.000
Iowa,compactness,0.944
Kansas,compactness,0.808
Kentucky,compactness,0.793
Louisiana,compactness,0.018
Maine,compactness,0.490
Maryland,compactness,0.659
Massachusetts,compactness,0.016
Michigan,compactness,0.864
Minnesota,compactness,0.873
Mississippi,compactness,0.880
Missouri,compactness,0.951
Montana,compactness,0.978
Nebraska,compactness,0.864
Nevada,compactness,0.933
New Hampshire,compactness,0.497
New Jersey,compactness,0.780
New Mexico,compactness,0.833
New York,compactness,0.869
North Carolina,compactness,0.797
North Dakota,compactness,
Ohio,compactness,0.811
Oklahoma,compactness,0.855
Oregon,compactness,0.898
Pennsylvania,compactness,0.947
Rhode Island,compactness,0.000
South Carolina,compactness,0.022
South Dakota,compactness,
Tennessee,compactness,0.748
Texas,compactness,0.677
Utah,compactness,0.909
Vermont,compactness,
Virginia,compactness,0.791
Washington,compactness,0.846
West Virginia,compactness,0.710
Wisconsin,compactness,0.929
Wyoming,compactness,
Alabama,competitiveness,0.000
Alaska,competitiveness,1.000
Arizona,competitiveness,0.333
Arkansas,competitiveness,0.000
California,competitiveness,0.333
Colorado,competitiveness,0.111
Connecticut,competitiveness,0.000
Delaware,competitiveness,
Florida,competitiveness,0.333
Georgia,competitiveness,0.000
Hawaii,competitiveness,0.000
Idaho,competitiveness,0.000
Illinois,competitiveness,0.000
Indiana,competitiveness,0.000
Iowa,competitiveness,0.333
Kansas,competitiveness,0.111
Kentucky,competitiveness,0.000
Louisiana,competitiveness,0.000
Maine,competitiveness,0.111
Maryland,competitiveness,0.111
Massachusetts,competitiveness,0.000
Michigan,competitiveness,0.556
Minnesota,competitiveness,0.111
Mississippi,competitiveness,0.000
Missouri,competitiveness,0.000
Montana,competitiveness,0.000
Nebraska,competitiveness,0.111
Nevada,competitiveness,0.111
New Hampshire,competitiveness,0.222
New Jersey,competitiveness,0.111
New Mexico,competitiveness,0.111
New York,competitiveness,0.667
North Carolina,competitiveness,0.111
North Dakota,competitiveness,
Ohio,competitiveness,0.444
Oklahoma,competitiveness,0.000
Oregon,competitiveness,0.111
Pennsylvania,competitiveness,0.444
Rhode Island,competitiveness,0.000
South Carolina,competitiveness,0.000
South Dakota,competitiveness,
Tennessee,competitiveness,0.000
Texas,competitiveness,0.222
Utah,competitiveness,0.000
Vermont,competitiveness,
Virginia,competitiveness,0.111
Washington,competitiveness,0.222
West Virginia,competitiveness,0.000
Wisconsin,competitiveness,0.222
Wyoming,competitiveness,
Alabama,congressional_money_percapita,0.854
Alaska,congressional_money_percapita,0.682
Arizona,congressional_money_percapita,0.680
Arkansas,congressional_money_percapita,0.764
California,congressional_money_percapita,0.562
Colorado,congressional_money_percapita,0.741
Connecticut,congressional_money_percapita,0.656
Delaware,congressional_money_percapita,0.899
Florida,congressional_money_percapita,0.721
Georgia,congressional_money_percapita,0.739
Hawaii,congressional_money_percapita,0.742
Idaho,congressional_money_percapita,1.000
Illinois,congressional_money_percapita,0.539
Indiana,congressional_money_percapita,0.803
Iowa,congressional_money_percapita,0.304
Kansas,congressional_money_percapita,0.506
Kentucky,congressional_money_percapita,0.806
Louisiana,congressional_money_percapita,0.539
Maine,congressional_money_percapita,0.537
Maryland,congressional_money_percapita,0.635
Massachusetts,congressional_money_percapita,0.728
Michigan,congressional_money_percapita,0.612
Minnesota,congressional_money_percapita,0.317
Mississippi,congressional_money_percapita,0.930
Missouri,congressional_money_percapita,0.838
Montana,congressional_money_percapita,0.000
Nebraska,congressional_money_percapita,0.695
Nevada,congressional_money_percapita,0.673
New Hampshire,congressional_money_percapita,0.263
New Jersey,congressional_money_percapita,0.655
New Mexico,congressional_money_percapita,0.426
New York,congressional_money_percapita,0.496
North Carolina,congressional_money_percapita,0.798
North Dakota,congressional_money_percapita,0.703
Ohio,congressional_money_percapita,0.597
Oklahoma,congressional_money_percapita,0.837
Oregon,congressional_money_percapita,0.758
Pennsylvania,congressional_money_percapita,0.613
Rhode Island,congressional_money_percapita,0.725
South Carolina,congressional_money_percapita,0.741
South Dakota,congressional_money_percapita,0.699
Tennessee,congressional_money_percapita,0.856
Texas,congressional_money_percapita,0.801
Utah,congressional_money_percapita,0.778
Vermont,congressional_money_percapita,0.967
Virginia,congressional_money_percapita,0.571
Washington,congressional_money_percapita,0.701
West Virginia,congressional_money_percapita,0.562
Wisconsin,congressional_money_percapita,0.595
Wyoming,congressional_money_percapita,0.845
Alabama,constitutional_initiative,0
Alaska,constitutional_initiative,0
Arizona,constitutional_initiative,1
Arkansas,constitutional_initiative,1
California,constitutional_initiative,1
Colorado,constitutional_initiative,1
Connecticut,constitutional_initiative,0
Delaware,constitutional_initiative,0
Florida,constitutional_initiative,1
Georgia,constitutional_initiative,0
Hawaii,constitutional_initiative,0
Idaho,constitutional_initiative,0
Illinois,constitutional_initiative,1
Indiana,constitutional_initiative,0
Iowa,constitutional_initiative,0
Kansas,constitutional_initiative,0
Kentucky,constitutional_initiative,0
Louisiana,constitutional_initiative,0
Maine,constitutional_initiative,0
Maryland,constitutional_initiative,0
Massachusetts,constitutional_initiative,1
Michigan,constitutional_initiative,1
Minnesota,constitutional_initiative,0
Mississippi,constitutional_initiative,0
Missouri,constitutional_initiative,1
Montana,constitutional_initiative,1
Nebraska,constitutional_initiative,1
Nevada,constitutional_initiative,1
New Hampshire,constitutional_initiative,0
New Jersey,constitutional_initiative,0
New Mexico,constitutional_initiative,0
New York,constitutional_initiative,0
North Carolina,constitutional_initiative,0
North Dakota,constitutional_initiative,1
Ohio,constitutional_initiative,1
Oklahoma,constitutional_initiative,1
Oregon,constitutional_initiative,1
Pennsylvania,constitutional_initiative,0
Rhode Island,constitutional_initiative,0
South Carolina,constitutional_initiative,0
South Dakota,constitutional_initiative,1
Tennessee,constitutional_initiative,0
