variable,category
voter_turnout,Electoral Participation
voter_registration,Electoral Participation
same_day_registration,Electoral Participation
strict_id,Electoral Participation
online_registration,Electoral Participation
no_excuse_absentee,Electoral Participation
partisan_fairness,Fair Representation
competitiveness,Fair Representation
compactness,Fair Representation
per_county_split,Fair Representation
elected_supreme_justice,Political Accountability
retention_election_justice,Political Accountability
partisan_justice_election,Political Accountability
court_curbing_bill,Political Accountability
statutory_initiative,Political Accountability
constitutional_initiative,Political Accountability
popular_referendum,Political Accountability
congressional_money_percapita,Campaign Finance
legislative_money_percapita,Campaign Finance
campaign_finance_index,Campaign Finance
protest_index,Civil Society
local_news,Civil Society
free_speech,Civil Society
press_incidents,Civil Society
democratic_leaning,Political and Institutional Factors
divided_government,Political and Institutional Factors
divided_legislatures,Political and Institutional Factors
bachelor_share,Demographics
minority_share,Demographics
